105學年度全國大學校院及校長名錄,,,,,,,,,,,
匯出時間:106.02.18,,,,,,,,,,,
序號,學校代碼,學校名稱,學校英文名稱,職稱,姓名,郵遞區號,地址,學校總機,學校傳真,網址,
1,0001,國立政治大學,National Chengchi Universerity,校長,周行一,11605,臺北市文山區指南路2段64號,02-2939-3091,02-2937-9611,http://www.nccu.edu.tw,
2,0002,國立清華大學,National Tsing Hua University,校長,賀陳弘,30013,新竹市光復路2段101號,03-571-5131,03-572-4038,http://www.nthu.edu.tw,
3,0003,國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,校長,楊泮池,10617,臺北市大安區羅斯福路4段1號,02-3366-3366,02-2362-7651,http://www.ntu.edu.tw,
4,0004,國立臺灣師範大學,National Taiwan Normal University,校長,張國恩,10610,臺北市大安區和平東路1段162號,02-7734-1111,02-7734-1111,http://www.ntnu.edu.tw,
5,0005,國立成功大學,National Cheng Kung University,校長,蘇慧貞,70101,臺南市大學路1號,06-275-7575,06-276-6439,http://www.ncku.edu.tw,
6,0006,國立中興大學,National Chung Hsing University,校長,薛富盛,40227,台中市南區興大路145號,04-2287-3181,04-2287-3702,http://www.nchu.edu.tw,
7,0007,國立交通大學,National Chiao Tung University,校長,張懋中,30010,新竹市大學路1001號,03-571-2121,03-573-1776,http://www.nctu.edu.tw/,
8,0008,國立中央大學,National Central University,校長,周景揚,32001,桃園市中壢區中大路300號,03-422-7151#9,03-425-4842,http://www.ncu.edu.tw,
9,0009,國立中山大學,National Sun Yat-sen University,校長,鄭英耀,80424,高雄市鼓山區蓮海路70號,07-525-2000#2015,07-525-2375,http://www.nsysu.edu.tw,
10,0012,國立臺灣海洋大學,National Taiwan Ocean University,校長,張清風,20224,基隆市北寧路2號,02-2462-2192,02-2462-0724,http://www.ntou.edu.tw,
11,0013,國立中正大學,National Chung Cheng University,校長,馮展華,62102,嘉義縣民雄鄉大學路168號,05-272-0411#10200,05-272-0401,http://www.ccu.edu.tw,
12,0014,國立高雄師範大學,National Kaohsiung Normal University,校長,吳連賞,80201,高雄市苓雅區和平一路116號,07-717-2930,07-605-1022,http://www.nknu.edu.tw,
13,0015,國立彰化師範大學,National Changhua University of Education,校長,郭艶光,50007,彰化市進德路1號,04-723-2105#1020,04-721-1098,http://www.ncue.edu.tw,
14,0016,國立陽明大學,National Yang-Ming University,校長,梁賡義,11221,臺北市北投區立農街2段155號,02-2826-7000,02-2825-0936,http://www.ym.edu.tw,
